1Ll-zyyu_MNOlBbyRl_v-verW_3A0lvjM,040 - Capitolo 1 - 5 aprile 1538.mp3,Marco Meacci,2019-03-06T20:35:41.339Z,5461166,https://drive.google.com/uc?id=1Ll-zyyu_MNOlBbyRl_v-verW_3A0lvjM&export=download
18ki3L_TxCVlDSdQwHuTelZt_To0msOfe,041 - Capitolo 2 - 20 aprile 1538.mp3,Marco Meacci,2019-03-06T20:37:59.225Z,11235273,https://drive.google.com/uc?id=18ki3L_TxCVlDSdQwHuTelZt_To0msOfe&export=download
1UCmfM48aStngc_ZlgIF9h9YxcUzrKhCb,042 - Capitolo 3 - 23 aprile 1538.mp3,Marco Meacci,2019-03-06T20:39:54.116Z,9683390,https://drive.google.com/uc?id=1UCmfM48aStngc_ZlgIF9h9YxcUzrKhCb&export=download
1TTDiSXyHbuJVuX6anVmtXBZkMJU3k7e1,043 - Capitolo 4 - 30 aprile 1538.mp3,Marco Meacci,2019-03-06T20:41:54.424Z,8323352,https://drive.google.com/uc?id=1TTDiSXyHbuJVuX6anVmtXBZkMJU3k7e1&export=download
1vWJtupeCFUxbn1LJFB65S7uRDYNxjvgJ,044 - Capitolo 5 - 4 maggio 1538.mp3,Marco Meacci,2019-03-06T20:43:06.486Z,5438178,https://drive.google.com/uc?id=1vWJtupeCFUxbn1LJFB65S7uRDYNxjvgJ&export=download
1QAYYMRbyOWho5kVlRmYGuzGqYont9di4,045 - Capitolo 6 - luglio 1527.mp3,Marco Meacci,2019-03-06T20:44:10.381Z,4355244,https://drive.google.com/uc?id=1QAYYMRbyOWho5kVlRmYGuzGqYont9di4&export=download
1CtWyVCjCzCcUIbNcAgUUaZKPN_DPyoVr,046 - Capitolo 7 - 3 agosto 1527.mp3,Marco Meacci,2019-03-06T20:46:00.619Z,8371415,https://drive.google.com/uc?id=1CtWyVCjCzCcUIbNcAgUUaZKPN_DPyoVr&export=download
15Bvy3DHvBcGPW27xFAbs5GtBw7tpNnw9,047 - Capitolo 8 - 20 agosto 1527.mp3,Marco Meacci,2019-03-06T20:48:00.974Z,7676768,https://drive.google.com/uc?id=15Bvy3DHvBcGPW27xFAbs5GtBw7tpNnw9&export=download
1ihNedhoNUzb-BVyimfwAv3ow2we6wh7A,048 - Capitolo 9 - 25 agosto 1527.mp3,Marco Meacci,2019-03-06T20:49:04.761Z,4414597,https://drive.google.com/uc?id=1ihNedhoNUzb-BVyimfwAv3ow2we6wh7A&export=download
1YhqG8uFtDzQm9fHmWP68cJXfI2roNLh_,049 - Capitolo 10 - 4 maggio 1538.mp3,Marco Meacci,2019-03-06T20:49:30.422Z,1715416,https://drive.google.com/uc?id=1YhqG8uFtDzQm9fHmWP68cJXfI2roNLh_&export=download
1FyNGplUQtcrq8nbiKk1Hx7Qo1ghNA5zD,050 - Capitolo 11 - 3 dicembre 1527.mp3,Marco Meacci,2019-03-06T20:50:41.995Z,5123040,https://drive.google.com/uc?id=1FyNGplUQtcrq8nbiKk1Hx7Qo1ghNA5zD&export=download
1x8QeUNxl2bE6ULZ5Dhk-w9sFtZugybHJ,051 - Capitolo 12 - 3 dicembre 1527.mp3,Marco Meacci,2019-03-06T20:51:35.169Z,3411079,https://drive.google.com/uc?id=1x8QeUNxl2bE6ULZ5Dhk-w9sFtZugybHJ&export=download
1PfEUDI6ebeg4wvFUN-fJ3P3saI6msRnp,052 - Capitolo 13 - 5 maggio 1538.mp3,Marco Meacci,2019-03-06T20:52:32.518Z,4372383,https://drive.google.com/uc?id=1PfEUDI6ebeg4wvFUN-fJ3P3saI6msRnp&export=download
1bxJdsiOiLnPXqc-UORcUsnBmBBhVF34M,053 - Capitolo 14 - 6 maggio 1538.mp3,Marco Meacci,2019-03-06T20:54:14.457Z,5827299,https://drive.google.com/uc?id=1bxJdsiOiLnPXqc-UORcUsnBmBBhVF34M&export=download
11mvV9i0I60392CtKtI_lKxiVGO4cqyfB,054 - Capitolo 15 - 6 maggio 1538.mp3,Marco Meacci,2019-03-06T20:55:59.611Z,8196292,https://drive.google.com/uc?id=11mvV9i0I60392CtKtI_lKxiVGO4cqyfB&export=download
1f1FNOU_eDuGu3M8Zo9c6-isbcbUV8f_z,055 - Capitolo 16 - 16 aprile 1530.mp3,Marco Meacci,2019-03-06T20:56:52.919Z,2673380,https://drive.google.com/uc?id=1f1FNOU_eDuGu3M8Zo9c6-isbcbUV8f_z&export=download
1C7xgMJRvQLQENJ2HLeeZo_L_sFiwpHGQ,056 - Capitolo 17 - 10 maggio 1538.mp3,Marco Meacci,2019-03-06T21:01:19.928Z,20274059,https://drive.google.com/uc?id=1C7xgMJRvQLQENJ2HLeeZo_L_sFiwpHGQ&export=download
1wijN2inLaut7r767A0Bl3tn750pISGOp,057 - Capitolo 18 - 6 febbraio 1532.mp3,Marco Meacci,2019-03-06T21:02:38.238Z,5841093,https://drive.google.com/uc?id=1wijN2inLaut7r767A0Bl3tn750pISGOp&export=download
13eQqygdiBbj2BhNDR36yIqYT8UJzRCy5,058 - Capitolo 19 - 14 maggio 1538.mp3,Marco Meacci,2019-03-06T21:04:13.490Z,6638977,https://drive.google.com/uc?id=13eQqygdiBbj2BhNDR36yIqYT8UJzRCy5&export=download
1y4fTXqa4KwVhIMB8usRtjXi-olTUFYJL,059 - Capitolo 20 - 7 luglio 1532.mp3,Marco Meacci,2019-03-06T21:06:11.385Z,6307116,https://drive.google.com/uc?id=1y4fTXqa4KwVhIMB8usRtjXi-olTUFYJL&export=download
1YT6uiSfinkDg20ApIh9txkhEfE5f9oij,060 - Capitolo 21 - 20 settembre 1533.mp3,Marco Meacci,2019-03-06T21:08:08.530Z,8924380,https://drive.google.com/uc?id=1YT6uiSfinkDg20ApIh9txkhEfE5f9oij&export=download
1UvHwQVuv--58hDYKTUyl4FyU1yTQwIFI,061 - Capitolo 22 - 20 maggio 1538.mp3,Marco Meacci,2019-03-06T21:17:12.732Z,5763352,https://drive.google.com/uc?id=1UvHwQVuv--58hDYKTUyl4FyU1yTQwIFI&export=download
1X18t2MsWfU5msmqro-9OrsA2jfJEUZA8,062 - Lettera - 20 giugno 1532.mp3,Marco Meacci,2019-03-06T21:18:28.085Z,4467257,https://drive.google.com/uc?id=1X18t2MsWfU5msmqro-9OrsA2jfJEUZA8&export=download
1HqR-dWVi37dd31M23PjPqPdf1CjQ67-A,063 - Lettera - 15 novembre 1533.mp3,Marco Meacci,2019-03-06T21:21:09.238Z,12099194,https://drive.google.com/uc?id=1HqR-dWVi37dd31M23PjPqPdf1CjQ67-A&export=download
132_-88ocMyvGYeHv962rTH2mP6-xqnyT,064 - Lettera - 10 gennaio 1534.mp3,Marco Meacci,2019-03-06T21:22:26.268Z,5779231,https://drive.google.com/uc?id=132_-88ocMyvGYeHv962rTH2mP6-xqnyT&export=download
1fC4DJ3jk5wBgHLBjVIhd6FvUER6rnKuG,065 - Capitolo 23 - 13 gennaio 1534.mp3,Marco Meacci,2019-03-06T21:23:23.755Z,3891314,https://drive.google.com/uc?id=1fC4DJ3jk5wBgHLBjVIhd6FvUER6rnKuG&export=download
1pygKVN5s5ef7ltdJcEIYByzkaQqX-fyw,066 - Capitolo 24 - 13 gennaio 1534.mp3,Marco Meacci,2019-03-06T21:27:16.943Z,15571184,https://drive.google.com/uc?id=1pygKVN5s5ef7ltdJcEIYByzkaQqX-fyw&export=download
1q5QzKU6tBcqc6CIMfnM7sLWvrLeiDDRS,067 - Capitolo 25 - 13 gennaio 1534.mp3,Marco Meacci,2019-03-06T21:29:31.623Z,9795405,https://drive.google.com/uc?id=1q5QzKU6tBcqc6CIMfnM7sLWvrLeiDDRS&export=download
1UJ7qt7V4-nbgnfVSocoSA-Jzr3xhVfLU,068 - Capitolo 26 - 28 gennaio 1534.mp3,Marco Meacci,2019-03-06T21:33:00.138Z,15491353,https://drive.google.com/uc?id=1UJ7qt7V4-nbgnfVSocoSA-Jzr3xhVfLU&export=download
1k546jHNnJunJ_AK5JbB9JM3EGTp1M8YI,069 - Capitolo 27 - 2 febbraio 1534.mp3,Marco Meacci,2019-03-06T21:34:37.410Z,7267170,https://drive.google.com/uc?id=1k546jHNnJunJ_AK5JbB9JM3EGTp1M8YI&export=download
1PaVcfe-vimG19Rvax40b6VRQohPi9tYf,070 - Capitolo 28 - 8 febbraio 1534.mp3,Marco Meacci,2019-03-06T21:36:38.169Z,8483432,https://drive.google.com/uc?id=1PaVcfe-vimG19Rvax40b6VRQohPi9tYf&export=download
1feLLjBhljDAtobulFsZdnE2jiRLKnGdV,071 - Capitolo 29 - 9 febbraio 1534.mp3,Marco Meacci,2019-03-06T21:41:26.398Z,22499276,https://drive.google.com/uc?id=1feLLjBhljDAtobulFsZdnE2jiRLKnGdV&export=download
15j464SLJARLUNV36awytFAThjOcsYieb,072 - Capitolo 29 - 9 febbraio 1534.mp3,Marco Meacci,2019-03-06T21:47:11.049Z,27475081,https://drive.google.com/uc?id=15j464SLJARLUNV36awytFAThjOcsYieb&export=download
1r29JL7-2WGGgXjfeohTkg34geG_OZFxE,073 - Capitolo 30 - Carnevale 1534.mp3,Marco Meacci,2019-03-06T21:48:40.265Z,7139274,https://drive.google.com/uc?id=1r29JL7-2WGGgXjfeohTkg34geG_OZFxE&export=download
12RSGRldtvAq_M4GuRmJOrdb-ftmsjPjA,074 - Capitolo 31 - 24 febbraio 1534.mp3,Marco Meacci,2019-03-06T21:51:41.778Z,13267393,https://drive.google.com/uc?id=12RSGRldtvAq_M4GuRmJOrdb-ftmsjPjA&export=download
11rUOioJvdRexYDrlY7X7PiDB7h2Rnjlj,075 - Capitolo 32 - 27 febbraio 1534.mp3,Marco Meacci,2019-03-06T21:53:15.124Z,4723054,https://drive.google.com/uc?id=11rUOioJvdRexYDrlY7X7PiDB7h2Rnjlj&export=download
